fovIDs,xStart,yStart,xEnd,yEnd
0,-3357.407,-4078.207,-3134.284,-3855.084
1,-3357.407,-3878.207,-3134.284,-3655.084
2,-3357.407,-3678.207,-3134.284,-3455.084
3,-3357.407,-3478.207,-3134.284,-3255.084
4,-3357.407,-3278.207,-3134.284,-3055.084
5,-3357.407,-3078.207,-3134.284,-2855.084
6,-3357.407,-2878.207,-3134.284,-2655.084
7,-3357.407,-2678.207,-3134.284,-2455.084
8,-3357.407,-2478.207,-3134.284,-2255.084
9,-3157.407,-2478.207,-2934.284,-2255.084
10,-3157.407,-2678.207,-2934.284,-2455.084
11,-3157.407,-2878.207,-2934.284,-2655.084
12,-3157.407,-3078.207,-2934.284,-2855.084
13,-3157.407,-3278.207,-2934.284,-3055.084
14,-3157.407,-3478.207,-2934.284,-3255.084
15,-3157.407,-3678.207,-2934.284,-3455.084
16,-3157.407,-3878.207,-2934.284,-3655.084
17,-3157.407,-4078.207,-2934.284,-3855.084
18,-2957.407,-4078.207,-2734.284,-3855.084
19,-2957.407,-3878.207,-2734.284,-3655.084
20,-2957.407,-3678.207,-2734.284,-3455.084
21,-2957.407,-3478.207,-2734.284,-3255.084
22,-2957.407,-3278.207,-2734.284,-3055.084
23,-2957.407,-3078.207,-2734.284,-2855.084
24,-2957.407,-2878.207,-2734.284,-2655.084
25,-2957.407,-2678.207,-2734.284,-2455.084
26,-2957.407,-2478.207,-2734.284,-2255.084
27,-2757.407,-2478.207,-2534.284,-2255.084
28,-2757.407,-2678.207,-2534.284,-2455.084
29,-2757.407,-2878.207,-2534.284,-2655.084
30,-2757.407,-3078.207,-2534.284,-2855.084
31,-2757.407,-3278.207,-2534.284,-3055.084
32,-2757.407,-3478.207,-2534.284,-3255.084
33,-2757.407,-3678.207,-2534.284,-3455.084
34,-2757.407,-3878.207,-2534.284,-3655.084
35,-2757.407,-4078.207,-2534.284,-3855.084
36,-2557.407,-4078.207,-2334.284,-3855.084
37,-2557.407,-3878.207,-2334.284,-3655.084
38,-2557.407,-3678.207,-2334.284,-3455.084
39,-2557.407,-3478.207,-2334.284,-3255.084
40,-2557.407,-3278.207,-2334.284,-3055.084
41,-2557.407,-3078.207,-2334.284,-2855.084
42,-2557.407,-2878.207,-2334.284,-2655.084
43,-2557.407,-2678.207,-2334.284,-2455.084
44,-2557.407,-2478.207,-2334.284,-2255.084
45,-2357.407,-2478.207,-2134.284,-2255.084
46,-2357.407,-2678.207,-2134.284,-2455.084
47,-2357.407,-2878.207,-2134.284,-2655.084
48,-2357.407,-3078.207,-2134.284,-2855.084
49,-2357.407,-3278.207,-2134.284,-3055.084
50,-2357.407,-3478.207,-2134.284,-3255.084
51,-2357.407,-3678.207,-2134.284,-3455.084
52,-2357.407,-3878.207,-2134.284,-3655.084
53,-2357.407,-4078.207,-2134.284,-3855.084
54,-2157.407,-4078.207,-1934.284,-3855.084
55,-2157.407,-3878.207,-1934.284,-3655.084
56,-2157.407,-3678.207,-1934.284,-3455.084
57,-2157.407,-3478.207,-1934.284,-3255.084
58,-2157.407,-3278.207,-1934.284,-3055.084
59,-2157.407,-3078.207,-1934.284,-2855.084
60,-2157.407,-2878.207,-1934.284,-2655.084
61,-2157.407,-2678.207,-1934.284,-2455.084
62,-2157.407,-2478.207,-1934.284,-2255.084
63,-1957.407,-2478.207,-1734.284,-2255.084
64,-1957.407,-2678.207,-1734.284,-2455.084
65,-1957.407,-2878.207,-1734.284,-2655.084
66,-1957.407,-3078.207,-1734.284,-2855.084
67,-1957.407,-3278.207,-1734.284,-3055.084
68,-1957.407,-3478.207,-1734.284,-3255.084
69,-1957.407,-3678.207,-1734.284,-3455.084
70,-1957.407,-3878.207,-1734.284,-3655.084
71,-1957.407,-4078.207,-1734.284,-3855.084
72,-1757.407,-4078.207,-1534.284,-3855.084
73,-1757.407,-3878.207,-1534.284,-3655.084
74,-1757.407,-3678.207,-1534.284,-3455.084
75,-1757.407,-3478.207,-1534.284,-3255.084
76,-1757.407,-3278.207,-1534.284,-3055.084
77,-1757.407,-3078.207,-1534.284,-2855.084
78,-1757.407,-2878.207,-1534.284,-2655.084
79,-1757.407,-2678.207,-1534.284,-2455.084
80,-1757.407,-2478.207,-1534.284,-2255.084
81,-3119.707,-888.507,-2896.584,-665.384
82,-3119.707,-688.507,-2896.584,-465.384
83,-3119.707,-488.507,-2896.584,-265.384
84,-3119.707,-288.507,-2896.584,-65.384
85,-3119.707,-88.507,-2896.584,134.616
86,-3119.707,111.493,-2896.584,334.616
87,-3119.707,311.493,-2896.584,534.616
88,-3119.707,511.493,-2896.584,734.616
89,-3119.707,711.493,-2896.584,934.616
90,-2919.707,711.493,-2696.584,934.616
91,-2919.707,511.493,-2696.584,734.616
92,-2919.707,311.493,-2696.584,534.616
93,-2919.707,111.493,-2696.584,334.616
94,-2919.707,-88.507,-2696.584,134.616
95,-2919.707,-288.507,-2696.584,-65.384
96,-2919.707,-488.507,-2696.584,-265.384
97,-2919.707,-688.507,-2696.584,-465.384
98,-2919.707,-888.507,-2696.584,-665.384
99,-2719.707,-888.507,-2496.584,-665.384
100,-2719.707,-688.507,-2496.584,-465.384
101,-2719.707,-488.507,-2496.584,-265.384
102,-2719.707,-288.507,-2496.584,-65.384
103,-2719.707,-88.507,-2496.584,134.616
104,-2719.707,111.493,-2496.584,334.616
105,-2719.707,311.493,-2496.584,534.616
106,-2719.707,511.493,-2496.584,734.616
107,-2719.707,711.493,-2496.584,934.616
108,-2519.807,711.493,-2296.684,934.616
109,-2519.807,511.493,-2296.684,734.616
110,-2519.807,311.493,-2296.684,534.616
111,-2519.807,111.493,-2296.684,334.616
112,-2519.807,-88.507,-2296.684,134.616
113,-2519.807,-288.507,-2296.684,-65.384
114,-2519.807,-488.507,-2296.684,-265.384
115,-2519.807,-688.507,-2296.684,-465.384
116,-2519.807,-888.507,-2296.684,-665.384
117,-2319.807,-888.507,-2096.684,-665.384
118,-2319.807,-688.507,-2096.684,-465.384
119,-2319.807,-488.507,-2096.684,-265.384
120,-2319.807,-288.507,-2096.684,-65.384
121,-2319.807,-88.507,-2096.684,134.616
122,-2319.807,111.493,-2096.684,334.616
123,-2319.807,311.493,-2096.684,534.616
124,-2319.807,511.493,-2096.684,734.616
125,-2319.807,711.493,-2096.684,934.616
126,-2119.707,711.493,-1896.584,934.616
127,-2119.707,511.493,-1896.584,734.616
128,-2119.707,311.493,-1896.584,534.616
129,-2119.707,111.493,-1896.584,334.616
130,-2119.707,-88.507,-1896.584,134.616
131,-2119.707,-288.507,-1896.584,-65.384
132,-2119.707,-488.507,-1896.584,-265.384
133,-2119.707,-688.507,-1896.584,-465.384
134,-2119.707,-888.507,-1896.584,-665.384
135,-1919.707,-888.507,-1696.584,-665.384
